250,1.66259
260,1.75524
270,2.068
280,2.9661
290,4.3756
300,4.98545
310,5.1251
320,5.11532
330,5.19812
340,5.30365
350,5.49894
360,6.03835
370,6.90616
380,6.62361
390,6.03598
400,5.60711
410,5.3244
420,5.11414
430,4.94455
440,4.80791
450,4.68725
460,4.58333
470,4.49363
480,4.41591
490,4.34696
500,4.29121
510,4.23824
520,4.19048
530,4.14851
540,4.10953
550,4.07476
560,4.04278
570,4.01279
580,3.98581
590,3.96102
600,3.93803
610,3.91604
620,3.89605
630,3.87706
640,3.85907
650,3.84227
660,3.82628
670,3.81128
680,3.79629
690,3.7823
700,3.7703
710,3.75731
720,3.74631
730,3.73551
740,3.72551
750,3.71551
760,3.70652
770,3.69752
780,3.68952
790,3.68153
800,3.67353
810,3.66653
820,3.65954
830,3.65272
840,3.64572
850,3.63973
860,3.63373
870,3.62873
880,3.62273
890,3.61773
900,3.61274
910,3.60774
920,3.60274
930,3.59874
940,3.59374
950,3.58974
960,3.58574
970,3.58175
980,3.57775
990,3.57375
1000,3.57075
1010,3.56675
1020,3.56375
1030,3.56075
1040,3.55793
1050,3.55493
1060,3.55193
1070,3.54894
1080,3.54594
1090,3.54394
1100,3.54094
1110,3.53894
1120,3.53594
1130,3.53394
1140,3.53094
1150,3.52894
1160,3.52694
1170,3.52494
1180,3.52294
1190,3.52094
1200,3.51894
1210,3.51694
1220,3.51594
1230,3.51395
1240,3.51195
1250,3.50995
1260,3.50795
1270,3.50695
1280,3.50495
1290,3.50395
1300,3.50195
1310,3.50095
1320,3.49895
1330,3.49795
1340,3.49595
1350,3.49495
1360,3.49395
1370,3.49295
1380,3.49095
1390,3.48995
1400,3.48895
1410,3.48795
1420,3.48695
1430,3.48595
1440,3.48495
1450,3.48395
