1260,2.34E-09,2.33E-04
1265,1.69E-09,1.67E-04
1270,1.27E-09,1.26E-04
1275,9.77E-10,9.63E-05
1280,7.53E-10,7.39E-05
1285,5.81E-10,5.69E-05
1290,4.48E-10,4.36E-05
1295,3.50E-10,3.40E-05
1300,2.72E-10,2.63E-05
1305,2.08E-10,2.01E-05
1310,1.59E-10,1.52E-05
1315,1.20E-10,1.14E-05
1320,8.72E-11,8.30E-06
1325,6.27E-11,5.95E-06
1330,4.20E-11,3.97E-06
1335,2.78E-11,2.62E-06
1340,1.81E-11,1.70E-06
1345,1.33E-11,1.25E-06
1350,1.04E-11,9.71E-07
1355,7.47E-12,6.93E-07
1360,6.29E-12,5.81E-07
1365,4.99E-12,4.59E-07
1370,3.90E-12,3.58E-07
1375,3.17E-12,2.90E-07
1380,2.64E-12,2.40E-07
1385,2.03E-12,1.84E-07
1390,1.74E-12,1.57E-07
1395,1.27E-12,1.15E-07
1400,1.04E-12,9.36E-08
1405,8.72E-13,7.80E-08
1410,6.04E-13,5.39E-08
1415,6.16E-13,5.47E-08
1420,4.29E-13,3.80E-08
1425,2.85E-13,2.51E-08
1430,2.04E-13,1.79E-08
1435,2.44E-13,2.13E-08
1440,1.38E-13,1.20E-08
1445,1.25E-13,1.09E-08
1450,1.09E-13,9.45E-09
